Potential,Flux
10.0,-0.0011908995
9.919839679358718,-0.0011908995
9.839679358717435,-0.00095271965
9.759519038076153,-0.0008336297
9.67935871743487,-0.00065499474
9.599198396793588,-0.00047635983
9.519038076152304,-0.00041681484
9.438877755511022,-0.00041681484
9.358717434869739,-0.00023817991
9.278557114228457,-0.00029772488
9.198396793587175,-0.00017863493
9.118236472945892,-0.0
9.03807615230461,-0.00023817991
8.957915831663327,-5.954498e-05
8.877755511022045,-0.00017863493
8.797595190380761,-0.00017863493
8.71743486973948,-0.00017863493
8.637274549098196,-0.00029772488
8.557114228456914,-0.00059544976
8.47695390781563,-0.0007145397
8.396793587174349,-0.0007145397
8.316633266533067,-0.00089317467
8.236472945891784,-0.0011908995
8.156312625250502,-0.0015481694
8.076152304609218,-0.0018458944
7.9959919839679365,-0.0019054393
7.915831663326653,-0.0023222542
7.835671342685371,-0.002739069
7.755511022044088,-0.0031558839
7.675350701402806,-0.0035726987
7.595190380761523,-0.0041681486
7.515030060120241,-0.0047040535
7.434869739478958,-0.005299503
7.354709418837675,-0.006073588
7.274549098196394,-0.0066690375
7.19438877755511,-0.0072644874
7.114228456913828,-0.008098117
7.034068136272545,-0.008991292
6.953907815631263,-0.009884466
6.87374749498998,-0.010837186
6.793587174348698,-0.011730361
6.713426853707415,-0.013040351
6.6332665330661325,-0.01411216
6.553106212424851,-0.01554124
6.472945891783567,-0.016791685
6.3927855711422845,-0.018280309
6.312625250501002,-0.019768933
6.23246492985972,-0.021376647
6.152304609218437,-0.023222541
6.072144288577155,-0.025068436
5.991983967935872,-0.027092965
5.9118236472945895,-0.02941522
5.831663326653307,-0.031677928
5.751503006012024,-0.03435745
5.6713426853707425,-0.037036978
5.591182364729459,-0.040014226
5.511022044088176,-0.043229654
5.4308617234468946,-0.046504628
5.350701402805611,-0.050315507
5.270541082164329,-0.05430502
5.190380761523047,-0.05823499
5.110220440881764,-0.063117675
5.030060120240481,-0.06788128
4.9498997995992,-0.073359415
4.869739478957916,-0.07913528
4.789579158316633,-0.0853875
4.709418837675352,-0.09211608
4.629258517034068,-0.09932102
4.549098196392786,-0.107240506
4.468937875751504,-0.11587453
4.388777555110221,-0.12480628
4.308617234468938,-0.13480984
4.228456913827657,-0.14540884
4.148296593186373,-0.15690102
4.0681362725450905,-0.16928637
3.987975951903808,-0.18286262
3.907815631262525,-0.19721296
3.8276553106212434,-0.21293284
3.7474949899799608,-0.22966498
3.667334669338678,-0.24770711
3.5871743486973955,-0.26717833
3.507014028056112,-0.28801906
3.42685370741483,-0.31052706
3.3466933867735476,-0.33464277
3.266533066132265,-0.3606044
3.1863727454909823,-0.38835236
3.1062124248497005,-0.4183035
3.026052104208417,-0.45027912
2.9458917835671343,-0.48457703
2.8657314629258526,-0.52125674
2.785571142284569,-0.5604373
2.7054108216432873,-0.60235703
2.6252505010020046,-0.6471944
2.545090180360722,-0.69494945
2.4649298597194402,-0.74633676
2.3847695390781567,-0.8004036
2.304609218436874,-0.8586386
2.2244488977955923,-0.92014855
2.1442885771543088,-0.98552895
2.064128256513026,-1.0549583
1.9839679358717444,-1.1281391
1.9038076152304626,-1.205905
1.823647294589179,-1.2876601
1.7434869739478955,-1.3736432
1.6633266533066138,-1.4640324
1.5831663326653302,-1.5584112
1.5030060120240485,-1.6570177
1.4228456913827667,-1.7593755
1.342685370741485,-1.8655442
1.2625250501002014,-1.9752855
1.182364729458918,-2.0880637
1.1022044088176361,-2.203581
1.0220440881763526,-2.3213015
0.9418837675350709,-2.4411654
0.8617234468937891,-2.5620418
0.7815631262525056,-2.6836326
0.701402805611222,-2.8055809
0.6212424849699403,-2.926874
0.5410821643286585,-3.0469165
0.46092184368737676,-3.164756
0.38076152304609323,-3.2801542
0.3006012024048097,-3.392188
0.22044088176352794,-3.5004706
0.1402805611222444,-3.6043766
0.06012024048096265,-3.703102
-0.020040080160319107,-3.7963498
-0.10020040080160086,-3.8836873
-0.18036072144288617,-3.964832
-0.26052104208416793,-4.0393825
-0.3406813627254497,-4.1071744
-0.4208416833667332,-4.168074
-0.501002004008015,-4.221992
-0.5811623246492967,-4.269003
-0.6613226452905803,-4.309151
-0.7414829659318638,-4.3423176
-0.8216432865731456,-4.3688
-0.9018036072144273,-4.3888965
-0.9819639278557108,-4.4027557
-1.0621242484969926,-4.4104815
-1.1422845691382761,-4.41264
-1.222444889779558,-4.4091864
-1.3026052104208414,-4.4005527
-1.3827655310621232,-4.387557
-1.462925851703405,-4.3697977
-1.5430861723446867,-4.34854
-1.623246492985972,-4.322638
-1.7034068136272538,-4.294101
-1.7835671342685355,-4.262334
-1.863727454909819,-4.2275
-1.9438877755511008,-4.190835
-2.0240480961923843,-4.1517587
-2.104208416833666,-4.1108217
-2.1843687374749496,-4.068545
-2.2645290581162314,-4.024928
-2.344689378757513,-3.9799268
-2.4248496993987967,-3.9344046
-2.5050100200400784,-3.8882275
-2.585170340681362,-3.8417826
-2.6653306613226437,-3.7948759
