Potential,Flux
10.0,-0.00026243462
9.9799899949975,-0.00019086155
9.959979989994997,-2.3857694e-05
9.939969984992496,-0.00014314617
9.919959979989995,-0.00019086155
9.899949974987495,-0.00016700386
9.879939969984992,-0.00014314617
9.859929964982491,-0.00014314617
9.83991995997999,-0.00014314617
9.819909954977488,-0.000119288474
9.799899949974987,-4.7715388e-05
9.779889944972487,-4.7715388e-05
9.759879939969984,-0.00016700386
9.739869934967484,2.3857694e-05
9.719859929964983,-0.00019086155
9.699849924962482,-9.5430776e-05
9.67983991995998,-0.000119288474
9.659829914957479,-7.1573086e-05
9.639819909954978,-4.7715388e-05
9.619809904952476,-0.00014314617
9.599799899949975,-9.5430776e-05
9.579789894947474,-9.5430776e-05
9.559779889944972,-7.1573086e-05
9.539769884942471,-7.1573086e-05
9.51975987993997,-9.5430776e-05
9.499749874937468,-4.7715388e-05
9.479739869934967,-4.7715388e-05
9.459729864932466,-0.00014314617
9.439719859929966,-4.7715388e-05
9.419709854927463,-0.000119288474
9.399699849924962,-4.7715388e-05
9.379689844922462,-0.00014314617
9.35967983991996,-0.000119288474
9.339669834917459,-0.0
9.319659829914958,-4.7715388e-05
9.299649824912457,-9.5430776e-05
9.279639819909955,-7.1573086e-05
9.259629814907454,-9.5430776e-05
9.239619809904953,-0.00019086155
9.21960980490245,-4.7715388e-05
9.19959979989995,-7.1573086e-05
9.17958979489745,-0.00016700386
9.159579789894947,-9.5430776e-05
9.139569784892446,-2.3857694e-05
9.119559779889945,-0.000119288474
9.099549774887445,-4.7715388e-05
9.079539769884942,-0.00016700386
9.059529764882441,-2.3857694e-05
9.03951975987994,-7.1573086e-05
9.019509754877438,-0.0
8.999499749874937,-0.000119288474
8.979489744872437,-0.00014314617
8.959479739869934,-0.000119288474
8.939469734867433,-9.5430776e-05
8.919459729864933,-0.00014314617
8.899449724862432,-0.00021471924
8.87943971985993,-0.00019086155
8.859429714857429,-0.00019086155
8.839419709854928,-0.00016700386
8.819409704852426,-4.7715388e-05
8.799399699849925,-0.00014314617
8.779389694847424,-0.00028629234
8.759379689844923,-7.1573086e-05
8.739369684842421,-0.00019086155
8.71935967983992,-0.00021471924
