Y,Conc
0.0,-0.0009551012836492243
0.001,4.585410394694124e-05
0.002,0.001046809490778634
0.003,0.0020477648768466145
0.004,0.003048720262151643
0.005,0.00404967564669448
0.006,0.005050631030475886
0.007,0.00605158641349662
0.008,0.007052541795757443
0.009000000000000001,0.008053497177259117
0.01,0.0090544525580024
0.011,0.010055407937988056
0.012,0.011056363317216843
0.013000000000000001,0.01205731869568952
0.014,0.013058274073406848
0.015,0.01405922945036959
0.016,0.0150601848265785
0.017,0.016061140202034346
0.018000000000000002,0.01706209557673788
0.019,0.018063050950689864
0.02,0.01906400632389106
0.021,0.020064961696342226
0.022,0.021065917068044122
0.023,0.02206687243899751
0.024,0.02306782780920314
0.025,0.024068783178661783
0.026000000000000002,0.02506973854737419
0.027,0.02607069391534112
0.028,0.027071649282563334
0.029,0.028072604649041592
0.03,0.029073560014776647
0.031,0.030074515379769257
0.032,0.031075470744020183
0.033,0.03207642610753018
0.034,0.0330773814703
0.035,0.03407833683233042
0.036000000000000004,0.03507929219362218
0.037,0.03608024755417604
0.038,0.03708120291399277
0.039,0.03808215827307311
0.04,0.03908311363141782
0.041,0.04008406898902766
0.042,0.04108502434590338
0.043000000000000003,0.042085979702045744
0.044,0.0430869350574555
0.045,0.04408789041213341
0.046,0.045088845766080216
0.047,0.04608980111929669
0.048,0.04709075647178358
0.049,0.04809171182354164
0.05,0.049092667174571614
0.051000000000000004,0.050093622524874266
0.052000000000000005,0.051094577874450355
0.053,0.05209553322330063
0.054,0.05309648857142584
0.055,0.05409744391882674
0.056,0.055098399265504076
0.057,0.0560993546114586
0.058,0.05710030995669108
0.059000000000000004,0.05810126530120226
0.06,0.05910222064499287
0.061,0.060103175988063674
0.062,0.061104131330415416
0.063,0.06210508667204885
0.064,0.06310604201296474
0.065,0.06410699735316382
0.066,0.06510795269264684
0.067,0.06610890803141455
0.068,0.0671098633694677
0.069,0.06811081870680702
0.07,0.06911177404343329
0.07100000000000001,0.07011272937934723
0.07200000000000001,0.07111368471454961
0.073,0.07211464004904115
0.074,0.07311559538282261
0.075,0.07411655071589474
0.076,0.07511750604825827
0.077,0.07611846137991397
0.078,0.07711941671086257
0.079,0.07812037204110484
0.08,0.07912132737064148
0.081,0.08012228269947326
0.082,0.08112323802760091
0.083,0.08212419335502519
0.084,0.08312514868174681
0.085,0.08412610400776653
0.08600000000000001,0.0851270593330851
0.08700000000000001,0.08612801465770326
0.088,0.08712896998162172
0.089,0.08812992530484123
0.09,0.08913088062736255
0.091,0.0901318359491864
0.092,0.09113279127031353
0.093,0.09213374659074466
0.094,0.09313470191048055
0.095,0.09413565722952191
0.096,0.09513661254786948
0.097,0.096137567865524
0.098,0.09713852318248622
0.099,0.09813947849875687
0.1,0.09914043381433667
0.101,0.10014138912922634
0.10200000000000001,0.10114234444342662
0.10300000000000001,0.10214329975693828
0.10400000000000001,0.10314425506976202
0.105,0.10414521038189856
0.106,0.10514616569334866
0.107,0.10614712100411304
0.108,0.10714807631419244
0.109,0.1081490316235876
0.11,0.10914998693229926
0.111,0.11015094224032809
0.112,0.11115189754767485
0.113,0.11215285285434025
0.114,0.11315380816032503
0.115,0.1141547634656299
0.116,0.11515571877025561
0.117,0.11615667407420287
0.11800000000000001,0.1171576293774724
0.11900000000000001,0.11815858468006495
0.12,0.11915953998198123
0.121,0.12016049528322194
0.122,0.12116145058378783
0.123,0.12216240588367963
0.124,0.12316336118289806
0.125,0.12416431648144378
0.126,0.12516527177931758
0.127,0.12616622707652012
0.128,0.12716718237305213
0.129,0.12816813766891436
0.13,0.12916909296410753
0.131,0.13017004825863232
0.132,0.13117100355248948
0.133,0.1321719588456797
0.134,0.13317291413820376
0.135,0.1341738694300623
0.136,0.13517482472125603
0.137,0.1361757800117857
0.138,0.137176735301652
0.139,0.13817769059085566
0.14,0.13917864587939738
0.14100000000000001,0.14017960116727787
0.14200000000000002,0.14118055645449784
0.14300000000000002,0.14218151174105798
0.14400000000000002,0.14318246702695903
0.145,0.14418342231220166
0.146,0.14518437759678662
0.147,0.14618533288071459
0.148,0.14718628816398624
0.149,0.14818724344660233
0.15,0.14918819872856354
0.151,0.1501891540098706
0.152,0.15119010929052415
0.153,0.15219106457052495
0.154,0.15319201984987368
0.155,0.15419297512857105
0.156,0.15519393040661777
0.157,0.15619488568401452
0.158,0.15719584096076203
0.159,0.15819679623686098
0.16,0.15919775151231205
0.161,0.16019870678711592
0.162,0.1611996620612733
0.163,0.1622006173347849
0.164,0.16320157260765142
0.165,0.1642025278798735
0.166,0.16520348315145186
0.167,0.16620443842238722
0.168,0.16720539369268023
0.169,0.1682063489623316
0.17,0.16920730423134206
0.171,0.17020825949971224
0.17200000000000001,0.17120921476744286
0.17300000000000001,0.17221017003453462
0.17400000000000002,0.17321112530098817
0.17500000000000002,0.17421208056680418
0.176,0.17521303583198333
0.177,0.17621399109652636
0.178,0.17721494636043394
0.179,0.17821590162370674
0.18,0.17921685688634545
0.181,0.18021781214835073
0.182,0.18121876740972329
0.183,0.18221972267046377
0.184,0.1832206779305729
0.185,0.18422163319005128
0.186,0.18522258844889966
0.187,0.18622354370711872
0.188,0.18722449896470908
0.189,0.18822545422167145
0.19,0.18922640947800648
0.191,0.19022736473371488
0.192,0.19122831998879727
0.193,0.1922292752432544
0.194,0.19323023049708687
0.195,0.19423118575029535
0.196,0.19523214100288055
0.197,0.19623309625484311
0.198,0.19723405150618376
0.199,0.19823500675690311
0.2,0.1992359620070018
0.201,0.20023691725648055
0.202,0.20123787250533998
0.203,0.20223882775358076
