Y,Conc
0.0,-0.001814566837820555
0.001,4.585410394694124e-05
0.002,0.0019062704588774257
0.003,0.0037666731762735104
0.004,0.005627053206057309
0.005,0.007487401498930914
0.006,0.00934770900653651
0.007,0.01120796668161612
0.008,0.013068165478170975
0.009000000000000001,0.014928296351620508
0.01,0.016788350258960964
0.011,0.018648318158923625
0.012,0.020508191012132637
0.013000000000000001,0.022367959781262447
0.014,0.024227615431194838
0.015,0.026087148929175557
0.016,0.027946551244970547
0.017,0.029805813351021747
0.018000000000000002,0.03166492622260248
0.019,0.03352388083797245
0.02,0.03538266817853224
0.021,0.037241279228977464
0.022,0.03909970497745246
0.023,0.0409579364157035
0.024,0.0428159645392316
0.025,0.044673780347444916
0.026000000000000002,0.04653137484381062
0.027,0.048388739036006344
0.028,0.050245863936071215
0.029,0.05210274056055638
0.03,0.05395935993067508
0.031,0.05581571307245226
0.032,0.05767179101687372
0.033,0.059527584800034714
0.034,0.06138308546328823
0.035,0.06323828405339263
0.036000000000000004,0.06509317162265886
0.037,0.0669477392290972
0.038,0.06880197793656351
0.039,0.0706558788149049
0.04,0.07250943294010508
0.041,0.074362631394429
0.042,0.0762154652665672
0.043000000000000003,0.07806792565177931
0.044,0.07992000365203752
0.045,0.0817716903761691
0.046,0.08362297693999865
0.047,0.08547385446648974
0.048,0.08732431408588603
0.049,0.08917434693585197
0.05,0.0910239441616127
0.051000000000000004,0.09287309691609379
0.052000000000000005,0.09472179636006009
0.053,0.0965700336622543
0.054,0.09841779999953487
0.055,0.10026508655701331
0.056,0.10211188452819116
0.057,0.10395818511509616
0.058,0.1058039795284181
0.059000000000000004,0.10764925898764384
0.06,0.10949401472119209
0.061,0.1113382379665474
0.062,0.1131819199703937
0.063,0.11502505198874714
0.064,0.1168676252870886
0.065,0.1187096311404954
0.066,0.12055106083377255
0.067,0.12239190566158341
0.068,0.12423215692857978
0.069,0.1260718059495314
0.07,0.12791084404945488
0.07100000000000001,0.12974926256374197
0.07200000000000001,0.13158705283828742
0.073,0.13342420622961607
0.074,0.13526071410500945
0.075,0.1370965678426318
0.076,0.1389317588316554
0.077,0.14076627847238543
0.078,0.14260011817638413
0.079,0.14443326936659445
0.08,0.14626572347746303
0.081,0.14809747195506254
0.082,0.14992850625721363
0.083,0.151758817853606
0.084,0.153588398225919
0.085,0.15541723886794165
0.08600000000000001,0.15724533128569204
0.08700000000000001,0.15907266699753603
0.088,0.1608992375343054
0.089,0.16272503443941538
0.09,0.1645500492689816
0.091,0.1663742735919363
0.092,0.16819769899014406
0.093,0.17002031705851692
0.094,0.1718421194051287
0.095,0.17366309765132884
0.096,0.17548324343185567
0.097,0.17730254839494888
0.098,0.17912100420246158
0.099,0.18093860252997138
0.1,0.18275533506689132
0.101,0.18457119351657972
0.10200000000000001,0.18638616959644977
0.10300000000000001,0.18820025503807816
0.10400000000000001,0.19001344158731334
0.105,0.191825721004383
0.106,0.19363708506400093
0.107,0.19544752555547337
0.108,0.1972570342828045
0.109,0.1990656030648015
0.11,0.20087322373517885
0.111,0.20267988814266205
0.112,0.20448558815109058
0.113,0.20629031563952052
0.114,0.2080940625023262
0.115,0.20989682064930132
0.116,0.2116985820057595
0.117,0.2134993385126341
0.11800000000000001,0.2152990821265775
0.11900000000000001,0.21709780482005955
0.12,0.2188954985814656
0.121,0.22069215541519366
0.122,0.2224877673417512
0.123,0.224282326397851
0.124,0.2260758246365065
0.125,0.22786825412712652
0.126,0.22965960695560939
0.127,0.23144987522443627
0.128,0.2332390510527639
0.129,0.23502712657651675
0.13,0.23681409394847847
0.131,0.23859994533838264
0.132,0.24038467293300297
0.133,0.242168268936243
0.134,0.2439507255692247
0.135,0.2457320350703768
0.136,0.2475121896955225
0.137,0.24929118171796613
0.138,0.2510690034285797
0.139,0.2528456471358883
0.14,0.25462110516615544
0.14100000000000001,0.2563953698634669
0.14200000000000002,0.2581684335898149
0.14300000000000002,0.25994028872518077
0.14400000000000002,0.2617109276676176
0.145,0.2634803428333319
0.146,0.2652485266567646
0.147,0.2670154715906719
0.148,0.2687811701062045
0.149,0.2705456146929872
0.15,0.2723087978591974
0.151,0.2740707121316429
0.152,0.2758313500558389
0.153,0.2775907041960851
0.154,0.27934876713554124
0.155,0.2811055314763025
0.156,0.2828609898394743
0.157,0.28461513486524603
0.158,0.286367959212965
0.159,0.2881194555612085
0.16,0.2898696166078564
0.161,0.29161843507016233
0.162,0.29336590368482474
0.163,0.29511201520805685
0.164,0.2968567624156564
0.165,0.29860013810307434
0.166,0.30034213508548335
0.167,0.3020827461978453
0.168,0.30382196429497843
0.169,0.3055597822516235
0.17,0.3072961929625098
0.171,0.30903118934242013
0.17200000000000001,0.31076476432625494
0.17300000000000001,0.3124969108690969
0.17400000000000002,0.31422762194627357
0.17500000000000002,0.31595689055342
0.176,0.3176847097065411
0.177,0.3194110724420725
0.178,0.32113597181694165
0.179,0.3228594009086275
0.18,0.32458135281522055
0.181,0.326301820655481
0.182,0.32802079756889757
0.183,0.3297382767157447
0.184,0.3314542512771396
0.185,0.33316871445509905
0.186,0.3348816594725944
0.187,0.3365930795736072
0.188,0.33830296802318366
0.189,0.3400113181074885
0.19,0.34171812313385835
0.191,0.3434233764308541
0.192,0.34512707134831333
0.193,0.3468292012574017
0.194,0.34852975955066345
0.195,0.3502287396420723
0.196,0.35192613496708053
0.197,0.3536219389826684
0.198,0.3553161451673923
0.199,0.35700874702143276
0.2,0.3586997380666416
0.201,0.3603891118465888
0.202,0.36207686192660804
0.203,0.3637629818938427
