Y,Conc
0.0,-0.0009551039062320242
0.001,4.585410394694124e-05
0.002,0.0010468121064811783
0.003,0.0020477701013778557
0.004,0.003048728088644144
0.005,0.004049686068287212
0.006,0.005050644040314233
0.007,0.006051602004732379
0.008,0.007052559961548823
0.009000000000000001,0.008053517910770741
0.01,0.009054475852405309
0.011,0.0100554337864597
0.012,0.011056391712941094
0.013000000000000001,0.012057349631856666
0.014,0.013058307543213596
0.015,0.014059265447019059
0.016,0.015060223343280235
0.017,0.016061181232004302
0.018000000000000002,0.01706213911319844
0.019,0.018063096986869823
0.02,0.019064054853025637
0.021,0.02006501271167306
0.022,0.02106597056281927
0.023,0.022066928406471443
0.024,0.023067886242636764
0.025,0.02406884407132241
0.026000000000000002,0.025069801892535555
0.027,0.026070759706283385
0.028,0.027071717512573073
0.029,0.028072675311411797
0.03,0.02907363310280673
0.031,0.03007459088676506
0.032,0.031075548663293952
0.033,0.032076506432400585
0.034,0.03307746419409213
0.035,0.034078421948375764
0.036000000000000004,0.03507937969525865
0.037,0.03608033743474798
0.038,0.037081295166850915
0.039,0.03808225289157463
0.04,0.03908321060892628
0.041,0.04008416831891304
0.042,0.04108512602154208
0.043000000000000003,0.04208608371682056
0.044,0.043087041404755645
0.045,0.0440879990853545
0.046,0.04508895675862428
0.047,0.04608991442457215
0.048,0.04709087208320526
0.049,0.048091829734530765
0.05,0.04909278737855583
0.051000000000000004,0.05009374501528761
0.052000000000000005,0.051094702644733245
0.053,0.05209566026689991
0.054,0.05309661788179472
0.055,0.05409757548942484
0.056,0.05509853308979742
0.057,0.05609949068291959
0.058,0.05710044826879849
0.059000000000000004,0.05810140584744125
0.06,0.059102363418855025
0.061,0.06010332098304693
0.062,0.061104278540024114
0.063,0.0621052360897937
0.064,0.06310619363236282
0.065,0.06410715116773859
0.066,0.06510810869592813
0.067,0.06610906621693857
0.068,0.06711002373077701
0.069,0.06811098123745059
0.07,0.06911193873696639
0.07100000000000001,0.07011289622933153
0.07200000000000001,0.07111385371455313
0.073,0.07211481119263827
0.074,0.07311576866359405
0.075,0.07411672612742759
0.076,0.07511768358414597
0.077,0.07611864103375629
0.078,0.07711959847626562
0.079,0.07812055591168104
0.08,0.07912151334000966
0.081,0.08012247076125856
0.082,0.08112342817543478
0.083,0.08212438558254538
0.084,0.08312534298259748
0.085,0.08412630037559811
0.08600000000000001,0.08512725776155435
0.08700000000000001,0.08612821514047324
0.088,0.08712917251236184
0.089,0.08813012987722721
0.09,0.08913108723507639
0.091,0.09013204458591642
0.092,0.09113300192975435
0.093,0.0921339592665972
0.094,0.09313491659645202
0.095,0.09413587391932582
0.096,0.09513683123522562
0.097,0.09613778854415846
0.098,0.09713874584613134
0.099,0.0981397031411513
0.1,0.09914066042922531
0.101,0.10014161771036044
0.10200000000000001,0.10114257498456364
0.10300000000000001,0.10214353225184189
0.10400000000000001,0.10314448951220222
0.105,0.10414544676565157
0.106,0.10514640401219696
0.107,0.10614736125184539
0.108,0.1071483184846038
0.109,0.10814927571047916
0.11,0.10915023292947847
0.111,0.11015119014160865
0.112,0.11115214734687669
0.113,0.11215310454528951
0.114,0.11315406173685408
0.115,0.11415501892157731
0.116,0.11515597609946618
0.117,0.11615693327052759
0.11800000000000001,0.11715789043476849
0.11900000000000001,0.11815884759219576
0.12,0.11915980474281633
0.121,0.12016076188663713
0.122,0.12116171902366506
0.123,0.12216267615390701
0.124,0.12316363327736989
0.125,0.1241645903940606
0.126,0.125165547503986
0.127,0.126166504607153
0.128,0.12716746170356846
0.129,0.12816841879323929
0.13,0.1291693758761723
0.131,0.13017033295237437
0.132,0.13117129002185238
0.133,0.13217224708461311
0.134,0.13317320414066347
0.135,0.1341741611900103
0.136,0.1351751182326604
0.137,0.13617607526862066
0.138,0.13717703229789788
0.139,0.13817798932049882
0.14,0.13917894633643035
0.14100000000000001,0.14017990334569927
0.14200000000000002,0.14118086034831237
0.14300000000000002,0.14218181734427643
0.14400000000000002,0.14318277433359825
0.145,0.14418373131628462
0.146,0.14518468829234232
0.147,0.14618564526177807
0.148,0.14718660222459867
0.149,0.1481875591808109
0.15,0.14918851613042147
0.151,0.15018947307343716
0.152,0.15119043000986473
0.153,0.1521913869397109
0.154,0.15319234386298233
0.155,0.15419330077968585
0.156,0.15519425768982809
0.157,0.15619521459341582
0.158,0.1571961714904557
0.159,0.15819712838095443
0.16,0.15919808526491872
0.161,0.16019904214235522
0.162,0.16119999901327065
0.163,0.16220095587767167
0.164,0.16320191273556497
0.165,0.16420286958695718
0.166,0.16520382643185497
0.167,0.16620478327026497
0.168,0.1672057401021938
0.169,0.1682066969276481
0.17,0.16920765374663452
0.171,0.17020861055915967
0.17200000000000001,0.1712095673652302
0.17300000000000001,0.17221052416485264
0.17400000000000002,0.17321148095803365
0.17500000000000002,0.17421243774477982
0.176,0.1752133945250977
0.177,0.17621435129899393
0.178,0.17721530806647504
0.179,0.1782162648275476
0.18,0.17921722158221817
0.181,0.1802181783304933
0.182,0.1812191350723795
0.183,0.18222009180788332
0.184,0.1832210485370113
0.185,0.18422200525976992
0.186,0.1852229619761658
0.187,0.18622391868620541
0.188,0.1872248753898952
0.189,0.18822583208724172
0.19,0.18922678877825141
0.191,0.1902277454629308
0.192,0.19122870214128637
0.193,0.19222965881332454
0.194,0.19323061547905182
0.195,0.19423157213847467
0.196,0.1952325287915995
0.197,0.19623348543843275
0.198,0.19723444207898083
0.199,0.19823539871325022
0.2,0.19923635534124723
0.201,0.20023731196297834
0.202,0.20123826857844992
0.203,0.20223922518766835
