scan rate,Lambda,Expansion Term,J_ss,J_newman,Pct Dif From Levich,PCT Dif From Newman
0.5,5,0,-1.0033875,-0.9715074741345144,0.003376015,0.0328149580792072
0.5,5,1,-0.96977806,-0.9715074741345144,-0.031163769,-0.0017801337277092795
0.5,5,2,-0.97135293,-0.9715074741345144,-0.029491922,-0.00015907165028329067
0.5,5,3,-0.971465,-0.9715074741345144,-0.029373173,-4.3728500424806864e-05
0.5,5,4,-0.97149646,-0.9715074741345144,-0.029339826,-1.1334254081573113e-05
0.5,5,5,-0.9715142,-0.9715074741345144,-0.029321007,6.948862225782298e-06
0.5,5,6,-0.9715023,-0.9715074741345144,-0.029333636,-5.321685631503213e-06
